TDE, Mh, Mhe-, Mhe+, tp, tpe-, tpe+
#Mockler+2019
PS1-10jh, 17, -1, 2, 110, -2, 7
PS1-11af, 3.7, -0.4, 0.5, 54, -3, 3
PTF09djl, 2.6, -0.5, 1, 54, -7, 10
PTF09ge, 3.6, -0.5, 0.8, 59, -4, 14
iPTF16fnl, 1.7, -0.2, 0.2, 37, -2, 2
iPTF16axa, 2.5, -0.9, 1.3, 62, -9, 13
ASASSN-14li, 9, -3, 2, 95, -15, 14
ASASSN-15oi, 4, -1, 1, 70, -7, 8
ASASSN-14ae, 1.3, -0.1, 0.1, 37, -2, 3
OGLE16aaa, 3.0, -0.8, 1.2, 67, -13, 13
D1-9, 66, -10, 7, 212, -33, 42
D3-13, 30, -3, 3, 131, -11, 71
TDE1, 3, -1, 3, 76, -25, 45
TDE2, 1.9, -0.6, 0.4, 50, -12, 36
#Nicholl+2020
#tpeak - tfallback
AT2019qiz, 7.8e-1, -1.0e-1, 0.9e-1, 27, -2, 2
#Perley+2019
AT2018cow, 1.9e-2, -0.8e-2, 1.2e-2, 5, -1, 1
